,university_name,university_status,university_city,university_ball
0,Московский государственный университет им. М.В. Ломоносова,национальный университет,Москва,"1764,66"
1,Санкт-Петербургский государственный университет,национальный университет,Санкт-Петербург,"727,35"
2,Национальный исследовательский университет “Высшая школа экономики”,"национальный исследовательский университет, глобальный университет (проект 5-100)",Москва,"402,55"
3,Московский государственный технический университет им. Н.Э. Баумана (национальный исследовательский университет),национальный исследовательский университет,Москва,381
4,Южный федеральный университет,федеральный университет,Ростов-на-Дону,"349,12"
5,Российский экономический университет им. Г.В. Плеханова,,Москва,"347,02"
6,Казанский (Приволжский) федеральный университет,"федеральный университет, глобальный университет (проект 5-100)",Казань,"341,01"
7,Санкт-Петербургский политехнический университет Петра Великого,"национальный исследовательский университет, глобальный университет (проект 5-100)",Санкт-Петербург,"340,67"
8,Российская академия народного хозяйства и государственной службы при Президенте РФ,"федеральный университет, глобальный университет (проект 5-100)",Москва,"320,68"
9,Уральский федеральный университет им. первого Президента России Б.Н. Ельцина,"федеральный университет, глобальный университет (проект 5-100)",Екатеринбург,"305,82"
10,Финансовый университет при Правительстве РФ,,Москва,"272,42"
11,Первый Московский государственный медицинский университет им. И.М. Сеченова,глобальный университет (проект 5-100),Москва,"271,6"
12,Ставропольский государственный аграрный университет,,Ставрополь,"266,74"
13,Национальный исследовательский Томский государственный университет,"национальный исследовательский университет, глобальный университет (проект 5-100)",Томск,"264,73"
14,Национальный исследовательский Томский политехнический университет,"национальный исследовательский университет, глобальный университет (проект 5-100)",Томск,"253,47"
15,Российский университет дружбы народов,глобальный университет (проект 5-100),Москва,"247,16"
16,Рязанский государственный радиотехнический университет,опорный университет,Рязань,"246,2"
17,Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского,"национальный исследовательский университет, глобальный университет (проект 5-100)",Нижний Новгород,"243,41"
18,Национальный исследовательский ядерный университет МИФИ,"национальный исследовательский университет, глобальный университет (проект 5-100)",Москва,"223,4"
19,Уфимский государственный нефтяной технический университет,опорный университет,Уфа,"217,02"
20,Сибирский федеральный университет,"федеральный университет, глобальный университет (проект 5-100)",Красноярск,"202,71"
21,Донской государственный технический университет,опорный университет,Ростов-на-Дону,"196,92"
22,Волгоградский государственный технический университет,опорный университет,Волгоград,"194,58"
23,Южно-Уральский государственный университет (национальный исследовательский университет),"национальный исследовательский университет, глобальный университет (проект 5-100)",Челябинск,"192,29"
24,Московский государственный строительный университет (национальный исследовательский университет),национальный исследовательский университет,Москва,"190,26"
25,Воронежский государственный университет,национальный исследовательский университет,Воронеж,"188,98"
26,Национальный исследовательский технологический университет “МИСиС”,"национальный исследовательский университет, глобальный университет (проект 5-100)",Москва,"183,85"
27,Казанский национальный исследовательский технологический университет,национальный исследовательский университет,Казань,"179,35"
28,Национальный исследовательский Мордовский государственный университет им. Н.П. Огарева,национальный исследовательский университет,Саранск,"179,09"
29,Саратовский национальный исследовательский государственный университет им. Н.Г. Чернышевского,национальный исследовательский университет,Саратов,"176,88"
30,Российский государственный педагогический университет им. А.И. Герцена,национальный исследовательский университет,Санкт-Петербург,"172,59"
31,Северо-Кавказский федеральный университет,федеральный университет,Ставрополь,"169,13"
32,Российский национальный исследовательский медицинский университет им. Н.И. Пирогова,национальный исследовательский университет,Москва,"166,57"
33,Магнитогорский государственный технический университет им. Г.И. Носова,опорный университет,Магнитогорск,"164,88"
34,Кубанский государственный аграрный университет им. И.Т. Трубилина,,Краснодар,"162,56"
35,"Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики","национальный исследовательский университет, глобальный университет (проект 5-100)",Санкт-Петербург,"157,91"
36,Пермский национальный исследовательский политехнический университет,национальный исследовательский университет,Пермь,"157,45"
37,Самарский национальный исследовательский университет им. акад. С.П. Королева,"национальный исследовательский университет, глобальный университет (проект 5-100)",Самара,"150,16"
38,Российский государственный социальный университет,опорный университет,Москва,"148,8"
39,Московский государственный институт международных отношений (университет),,Москва,"147,28"
40,Национальный исследовательский университет “МЭИ”,национальный исследовательский университет,Москва,"145,5"
41,Самарский государственный технический университет,опорный университет,Самара,"144,11"
42,Московский политехнический университет,,Москва,"143,99"
43,Санкт-Петербургский государственный экономический университет,национальный исследовательский университет,Санкт-Петербург,"140,76"
44,Тюменский индустриальный университет,опорный университет,Тюмень,"140,16"
45,Воронежский государственный технический университет,опорный университет,Воронеж,"135,84"
46,Российский государственный аграрный университет-Московская сельскохозяйственная академия им. К.А. Тимирязева,национальный исследовательский университет,Москва,"135,46"
47,Российский государственный университет нефти и газа (национальный исследовательский университет) им. И.М. Губкина,национальный исследовательский университет,Москва,"130,25"
48,Юго-Западный государственный университет,"национальный исследовательский университет, глобальный университет (проект 5-100)",Курск,"130,03"
49,Кубанский государственный технологический университет,"национальный исследовательский университет, глобальный университет (проект 5-100)",Краснодар,"128,41"
50,Башкирский государственный университет,,Уфа,"128,17"
51,Кубанский государственный университет,,Краснодар,"122,41"
52,Московский педагогический государственный университет,,Москва,"121,17"
53,Новосибирский государственный технический университет,опорный университет,Новосибирск,"120,94"
54,Московский авиационный институт (национальный исследовательский университет),национальный исследовательский университет,Москва,"119,75"
55,Белгородский государственный технологический университет им. В.Г. Шухова,опорный университет,Белгород,"118,22"
56,Московский городской педагогический университет,,Москва,"118,17"
57,Кемеровский государственный университет,опорный университет,Кемерово,"117,62"
58,Белгородский государственный национальный исследовательский университет,национальный исследовательский университет,Белгород,"117,26"
59,Тюменский государственный университет,глобальный университет (проект 5-100),Тюмень,"109,97"
60,Саратовский государственный технический университет им. Гагарина Ю.А.,опорный университет,Саратов,"108,65"
61,Дальневосточный федеральный университет,"федеральный университет, глобальный университет (проект 5-100)",Владивосток,"107,84"
62,Иркутский национальный исследовательский технический университет,национальный исследовательский университет,Иркутск,"107,4"
63,МИРЭА-Российский технологический университет,,Москва,"106,78"
64,Российский государственный гуманитарный университет,,Москва,"105,43"
65,Пензенский государственный университет,национальный исследовательский университет,Пенза,"102,2"
66,Саратовский государственный аграрный университет им. Н.И. Вавилова,,Саратов,"101,58"
67,Воронежский государственный аграрный университет им. Императора Петра I,,Воронеж,"99,27"
68,Башкирский государственный аграрный университет,,Уфа,"98,91"
69,Волгоградский государственный медицинский университет,национальный исследовательский университет,Волгоград,"96,35"
70,Оренбургский государственный университет,,Оренбург,"95,36"
71,Донской государственный аграрный университет,глобальный университет (проект 5-100),Персиановский,"95,01"
72,Санкт-Петербургский государственный электротехнический университет “ЛЭТИ” им. В.И. Ульянова (Ленина),глобальный университет (проект 5-100),Санкт-Петербург,"94,12"
73,Алтайский государственный университет,опорный университет,Барнаул,"93,99"
74,Пермский государственный национальный исследовательский университет,национальный исследовательский университет,Пермь,"93,93"
75,Российский химико-технологический университет им. Д.И. Менделеева,,Москва,"93,35"
76,Крымский федеральный университет им. В.И. Вернадского,федеральный университет,Симферополь,"91,64"
77,Омский государственный технический университет,опорный университет,Омск,"87,65"
78,Московский университет МВД РФ им. В.Я. Кикотя,,Москва,"86,62"
79,Нижегородский государственный технический университет им. Р.Е. Алексеева,опорный университет,Нижний Новгород,"85,82"
80,Российский университет транспорта (МИИТ),федеральный университет,Москва,"85,19"
81,Южно-Российский государственный политехнический университет (НПИ) им. М.И. Платова,опорный университет,Новочеркасск,"84,59"
82,Московский физико-технический институт (государственный университет),"национальный исследовательский университет, глобальный университет (проект 5-100)",Долгопрудный,"83,2"
83,Чувашский государственный университет им. И.Н. Ульянова,глобальный университет (проект 5-100),Чебоксары,"82,82"
84,Военно-медицинская академия им. С.М. Кирова,,Санкт-Петербург,"82,69"
85,Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ,национальный исследовательский университет,Казань,"79,87"
86,Тульский государственный университет,опорный университет,Тула,"79,55"
87,Московский государственный медико-стоматологический университет им. А.И. Евдокимова,,Москва,"79,35"
88,Государственный университет управления,опорный университет,Москва,"79,23"
89,Алтайский государственный технический университет им. И.И. Ползунова,,Барнаул,"77,57"
90,Иркутский государственный университет,,Иркутск,"77,38"
91,Ульяновский государственный аграрный университет им. П.А. Столыпина,опорный университет,Ульяновск,"75,07"
92,Орловский государственный университет им. И.С. Тургенева,опорный университет,Орел,"74,99"
93,Тамбовский государственный технический университет,,Тамбов,"73,82"
94,Вятский государственный университет,опорный университет,Киров,"71,59"
95,Северо-Восточный федеральный университет им. М.К. Аммосова,федеральный университет,Якутск,"71,56"
96,Петербургский государственный университет путей сообщения Императора Александра I,,Санкт-Петербург,"70,42"
97,Уфимский государственный авиационный технический университет,,Уфа,"70,13"
98,Северный (Арктический) федеральный университет им. М.В. Ломоносова,федеральный университет,Архангельск,"70,13"
99,Сибирский государственный медицинский университет,опорный университет,Томск,"70,06"
100,Тамбовский государственный университет им. Г.Р. Державина,опорный университет,Тамбов,"69,68"
101,Северо-Западный государственный медицинский университет им. И.И. Мечникова,,Санкт-Петербург,"69,25"
102,Петрозаводский государственный университет,опорный университет,Петрозаводск,"69,14"
103,Саратовский государственный медицинский университет им. В.И. Разумовского,опорный университет,Саратов,"69,1"
104,Сибирский государственный университет науки и технологий им. акад. М.Ф. Решетнева,опорный университет,Красноярск,"68,97"
105,Воронежский государственный лесотехнический университет им. Г.Ф. Морозова,,Воронеж,"67,65"
106,Волгоградский государственный университет,федеральный университет,Волгоград,"66,58"
107,Санкт-Петербургский горный университет,национальный исследовательский университет,Санкт-Петербург,"65,45"
108,Ижевский государственный технический университет им. М.Т. Калашникова,опорный университет,Ижевск,"65,27"
109,Первый Санкт-Петербургский государственный медицинский университет им. акад. И.П. Павлова,,Санкт-Петербург,"63,64"
110,Сибирский государственный индустриальный университет,,Новокузнецк,"62,85"
111,Московский государственный юридический университет им. О.Е. Кутафина (МГЮА),,Москва,"62,25"
112,Воронежский государственный университет инженерных технологий,,Воронеж,"61,24"
113,Владимирский государственный университет им. А.Г. и Н.Г. Столетовых,опорный университет,Владимир,"60,85"
114,Московский государственный областной университет,,Москва,"60,23"
115,Московский государственный технологический университет “Станкин”,опорный университет,Москва,"59,8"
116,Московский автомобильно-дорожный государственный технический университет (МАДИ),,Москва,"59,43"
117,Кузбасский государственный технический университет им. Т.Ф. Горбачева,,Кемерово,"58,18"
118,Тольяттинский государственный университет,опорный университет,Тольятти,"57,42"
119,Новосибирский государственный педагогический университет,,Новосибирск,"56,48"
120,Балтийский федеральный университет им. И. Канта,"федеральный университет, глобальный университет (проект 5-100)",Калининград,"56,41"
121,Удмуртский государственный университет,,Ижевск,"55,86"
122,Тверской государственный университет,,Тверь,"55,43"
123,Нижегородский государственный педагогический университет им. К. Минина,,Нижний Новгород,"55,09"
124,Московский государственный университет технологий и управления им. К.Г. Разумовского (Первый казачий университет),,Москва,"54,56"
125,Приволжский исследовательский медицинский университет,,Нижний Новгород,"53,85"
126,Санкт-Петербургский государственный технологический институт (технический университет),,Санкт-Петербург,"53,4"
127,Омский государственный университет путей сообщения,,Омск,"53,37"
128,Российский государственный университет им. А.Н. Косыгина (Технологии. Дизайн. Искусство),,Москва,"53,24"
129,Ростовский государственный экономический университет (РИНХ),,Ростов-на-Дону,53
130,Новосибирский национальный исследовательский государственный университет,"национальный исследовательский университет, глобальный университет (проект 5-100)",Новосибирск,"52,64"
131,Московский государственный психолого-педагогический университет,,Москва,"52,48"
132,Российский университет кооперации,,Мытищи,"52,12"
133,Челябинский государственный университет,,Челябинск,"51,53"
134,Ульяновский государственный университет,опорный университет,Ульяновск,"51,39"
135,Российская таможенная академия,,Люберцы,"51,06"
136,Башкирский государственный медицинский университет,,Уфа,"50,71"
137,Орловский государственный аграрный университет им. Н.В. Парахина,,Орел,"50,6"
138,Южно-Уральский государственный медицинский университет,опорный университет,Челябинск,"49,83"
139,Воронежский государственный медицинский университет им. Н.Н. Бурденко,,Воронеж,"49,59"
140,Санкт-Петербургский государственный педиатрический медицинский университет,,Санкт-Петербург,"49,29"
141,Сибирский государственный университет путей сообщения,,Новосибирск,"49,27"
142,Астраханский государственный университет,,Астрахань,"49,05"
143,Самарский государственный медицинский университет,,Самара,"49,01"
144,Красноярский государственный медицинский университет им. проф. В.Ф. Войно-Ясенецкого,,Красноярск,"48,81"
145,Самарский государственный экономический университет,,Самара,"48,64"
146,"Белгородский университет кооперации, экономики и права",,Белгород,"47,69"
147,Поволжский государственный технологический университет,,Йошкар-Ола,"46,93"
148,Южно-Уральский государственный гуманитарно-педагогический университет,"федеральный университет, глобальный университет (проект 5-100)",Челябинск,"46,7"
149,Ростовский государственный университет путей сообщения,,Ростов-на-Дону,"46,27"
150,Ульяновский государственный технический университет,,Ульяновск,"45,95"
151,Тверской государственный технический университет,,Тверь,"45,8"
152,Национальный исследовательский университет “Московский институт электронной техники”,национальный исследовательский университет,Москва,"44,94"
153,Пензенский государственный технологический университет,,Пенза,"44,81"
154,"Национальный государственный университет физической культуры, спорта и здоровья им. П.Ф. Лесгафта",,Санкт-Петербург,"44,71"
155,Томский государственный университет систем управления и радиоэлектроники,,Томск,"44,67"
156,Вологодский государственный университет,"национальный исследовательский университет, глобальный университет (проект 5-100)",Вологда,"44,54"
157,Ивановский государственный химико-технологический университет,,Иваново,"44,53"
158,Ростовский государственный медицинский университет,,Ростов-на-Дону,"44,37"
159,Пятигорский государственный университет,,Пятигорск,"44,13"
160,Сургутский государственный университет,опорный университет,Сургут,"43,93"
161,Ярославский государственный университет им. П.Г. Демидова,опорный университет,Ярославль,"43,87"
162,Сибирский государственный автомобильно-дорожный университет,,Омск,"43,57"
163,Санкт-Петербургский государственный архитектурно-строительный университет,,Санкт-Петербург,"43,32"
164,Омский государственный университет им. Ф.М. Достоевского,опорный университет,Омск,"42,86"
165,Курский государственный медицинский университет,,Курск,"42,44"
166,Московский государственный университет пищевых производств,,Москва,"42,14"
167,Красноярский государственный педагогический университет им. В.П. Астафьева,национальный исследовательский университет,Красноярск,"42,11"
168,Костромской государственный университет,опорный университет,Кострома,"42,09"
169,Краснодарский университет МВД РФ,,Краснодар,"41,97"
170,Казанский государственный энергетический университет,,Казань,"41,84"
171,Казанский государственный медицинский университет,,Казань,"41,82"
172,Дагестанский государственный университет,,Махачкала,"41,76"
173,Марийский государственный университет,опорный университет,Йошкар-Ола,"41,46"
174,Российский государственный университет правосудия,,Москва,"41,43"
175,Пензенский государственный университет архитектуры и строительства,,Пенза,"41,4"
176,Пензенский государственный аграрный университет,,Пенза,"41,11"
177,Кабардино-Балкарский государственный университет им. Х.М. Бербекова,,Нальчик,"41,07"
178,Кубанский государственный медицинский университет,,Краснодар,"40,69"
179,Иркутский государственный университет путей сообщения,,Иркутск,"40,22"
180,Томский государственный архитектурно-строительный университет,,Томск,"39,61"
181,Забайкальский государственный университет,,Чита,"38,86"
182,Нижегородский государственный архитектурно-строительный университет,,Нижний Новгород,"38,73"
183,Волгоградский государственный аграрный университет,,Волгоград,"38,64"
184,Ижевская государственная сельскохозяйственная академия,,Ижевск,"38,34"
185,Белгородский государственный аграрный университет им. В.Я. Горина,,Белгород,"38,3"
186,Московский технический университет связи и информатики,,Москва,"38,05"
187,Новосибирский государственный университет экономики и управления “НИНХ”,,Новосибирск,"37,95"
188,Рязанский государственный университет им. С.А. Есенина,,Рязань,"37,42"
189,Ивановский государственный университет,,Иваново,"37,25"
190,Астраханский государственный технический университет,,Астрахань,"37,07"
191,Омский государственный медицинский университет,,Омск,"36,87"
192,Рязанский государственный агротехнологический университет им. П.А. Костычева,,Рязань,"36,49"
193,Курский государственный университет,,Курск,"36,28"
194,Тульский государственный педагогический университет им. Л.Н. Толстого,,Тула,"36,25"
195,Томский государственный педагогический университет,,Томск,"36,17"
196,Оренбургский государственный педагогический университет,,Оренбург,"35,77"
197,Санкт-Петербургский государственный аграрный университет,,Санкт-Петербург,"35,54"
198,Брянский государственный технический университет,,Брянск,"35,22"
199,Байкальский государственный университет,,Иркутск,"34,85"
200,"Российский государственный университет физической культуры, спорта, молодёжи и туризма",,Москва,"34,74"
201,Башкирский государственный педагогический университет им. М. Акмуллы,,Уфа,"34,59"
202,Волгоградский государственный социально-педагогический университет,,Волгоград,"34,54"
203,Северо-Кавказская государственная гуманитарно-технологическая академия,,Черкесск,"33,94"
204,Алтайский государственный медицинский университет,,Барнаул,"33,48"
205,Саратовская государственная юридическая академия,,Саратов,"33,26"
206,Санкт-Петербургский государственный университет промышленных технологий и дизайна,опорный университет,Санкт-Петербург,"33,08"
207,Казанский государственный архитектурно-строительный университет,,Казань,"32,8"
208,Уральский государственный экономический университет,,Екатеринбург,"32,78"
209,Уральский государственный педагогический университет,,Екатеринбург,"32,74"
210,Северный государственный медицинский университет,,Архангельск,"32,73"
211,Ульяновский государственный педагогический университет им. И.Н. Ульянова,,Ульяновск,"32,66"
